ID,Title,Difficulty,Link,Topics,Acceptance Rate (%),Premium Only,Category,Likes,Dislikes,Example Test Cases,Similar Questions
1883,Minimum Skips to Arrive at Meeting On Time,Hard,https://leetcode.com/problems/minimum-skips-to-arrive-at-meeting-on-time/,"Array, Dynamic Programming",38.35,False,Algorithms,348,53,,"[{""title"": ""Minimum Speed to Arrive on Time"", ""titleSlug"": ""minimum-speed-to-arrive-on-time"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Minimum Time to Finish the Race"", ""titleSlug"": ""minimum-time-to-finish-the-race"", ""difficulty"": ""Hard"", ""translatedTitle"": null}]"
231,Power of Two,Easy,https://leetcode.com/problems/power-of-two/,"Math, Bit Manipulation, Recursion",49.25,False,Algorithms,7620,480,,"[{""title"": ""Number of 1 Bits"", ""titleSlug"": ""number-of-1-bits"", ""difficulty"": ""Easy"", ""translatedTitle"": null}, {""title"": ""Power of Three"", ""titleSlug"": ""power-of-three"", ""difficulty"": ""Easy"", ""translatedTitle"": null}, {""title"": ""Power of Four"", ""titleSlug"": ""power-of-four"", ""difficulty"": ""Easy"", ""translatedTitle"": null}]"
3578,Count Partitions With Max-Min Difference at Most K,Medium,https://leetcode.com/problems/count-partitions-with-max-min-difference-at-most-k/,"Array, Dynamic Programming, Queue, Sliding Window, Prefix Sum, Monotonic Queue",37.08,False,Algorithms,125,8,,"[{""title"": ""Number of Great Partitions"", ""titleSlug"": ""number-of-great-partitions"", ""difficulty"": ""Hard"", ""translatedTitle"": null}]"
3233,Find the Count of Numbers Which Are Not Special,Medium,https://leetcode.com/problems/find-the-count-of-numbers-which-are-not-special/,"Array, Math, Number Theory",27.1,False,Algorithms,188,26,,"[{""title"": ""Count Primes"", ""titleSlug"": ""count-primes"", ""difficulty"": ""Medium"", ""translatedTitle"": null}]"
904,Fruit Into Baskets,Medium,https://leetcode.com/problems/fruit-into-baskets/,"Array, Hash Table, Sliding Window",49.35,False,Algorithms,5722,501,,"[{""title"": ""Longest Nice Subarray"", ""titleSlug"": ""longest-nice-subarray"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Fruits Into Baskets II"", ""titleSlug"": ""fruits-into-baskets-ii"", ""difficulty"": ""Easy"", ""translatedTitle"": null}]"
2019,The Score of Students Solving Math Expression,Hard,https://leetcode.com/problems/the-score-of-students-solving-math-expression/,"Array, Hash Table, Math, String, Dynamic Programming, Stack, Memoization",33.48,False,Algorithms,280,84,,"[{""title"": ""Basic Calculator"", ""titleSlug"": ""basic-calculator"", ""difficulty"": ""Hard"", ""translatedTitle"": null}, {""title"": ""Different Ways to Add Parentheses"", ""titleSlug"": ""different-ways-to-add-parentheses"", ""difficulty"": ""Medium"", ""translatedTitle"": null}]"
30,Substring with Concatenation of All Words,Hard,https://leetcode.com/problems/substring-with-concatenation-of-all-words/,"Hash Table, String, Sliding Window",33.18,False,Algorithms,2346,380,,"[{""title"": ""Minimum Window Substring"", ""titleSlug"": ""minimum-window-substring"", ""difficulty"": ""Hard"", ""translatedTitle"": null}]"
2818,Apply Operations to Maximize Score,Hard,https://leetcode.com/problems/apply-operations-to-maximize-score/,"Array, Math, Stack, Greedy, Sorting, Monotonic Stack, Number Theory",53.98,False,Algorithms,764,126,,"[{""title"": ""Next Greater Element IV"", ""titleSlug"": ""next-greater-element-iv"", ""difficulty"": ""Hard"", ""translatedTitle"": null}]"
997,Find the Town Judge,Easy,https://leetcode.com/problems/find-the-town-judge/,"Array, Hash Table, Graph",50.14,False,Algorithms,6837,620,,"[{""title"": ""Find the Celebrity"", ""titleSlug"": ""find-the-celebrity"", ""difficulty"": ""Medium"", ""translatedTitle"": null}]"
3287,Find the Maximum Sequence Value of Array,Hard,https://leetcode.com/problems/find-the-maximum-sequence-value-of-array/,"Array, Dynamic Programming, Bit Manipulation",19.22,False,Algorithms,85,8,,"[{""title"": ""Bitwise ORs of Subarrays"", ""titleSlug"": ""bitwise-ors-of-subarrays"", ""difficulty"": ""Medium"", ""translatedTitle"": null}]"
852,Peak Index in a Mountain Array,Medium,https://leetcode.com/problems/peak-index-in-a-mountain-array/,"Array, Binary Search",67.36,False,Algorithms,8150,1936,,"[{""title"": ""Find Peak Element"", ""titleSlug"": ""find-peak-element"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Find in Mountain Array"", ""titleSlug"": ""find-in-mountain-array"", ""difficulty"": ""Hard"", ""translatedTitle"": null}, {""title"": ""Minimum Number of Removals to Make Mountain Array"", ""titleSlug"": ""minimum-number-of-removals-to-make-mountain-array"", ""difficulty"": ""Hard"", ""translatedTitle"": null}]"
3029,Minimum Time to Revert Word to Initial State I,Medium,https://leetcode.com/problems/minimum-time-to-revert-word-to-initial-state-i/,"String, Rolling Hash, String Matching, Hash Function",41.55,False,Algorithms,162,33,,"[{""title"": ""Longest Happy Prefix"", ""titleSlug"": ""longest-happy-prefix"", ""difficulty"": ""Hard"", ""translatedTitle"": null}]"
906,Super Palindromes,Hard,https://leetcode.com/problems/super-palindromes/,"Math, String, Enumeration",39.47,False,Algorithms,371,423,,[]
3092,Most Frequent IDs,Medium,https://leetcode.com/problems/most-frequent-ids/,"Array, Hash Table, Heap (Priority Queue), Ordered Set",41.8,False,Algorithms,258,38,,[]
2994,Friday Purchases II ,Hard,https://leetcode.com/problems/friday-purchases-ii/,Database,76.54,True,Database,13,4,,[]
3587,Minimum Adjacent Swaps to Alternate Parity,Medium,https://leetcode.com/problems/minimum-adjacent-swaps-to-alternate-parity/,"Array, Greedy",41.68,False,Algorithms,76,14,,[]
641,Design Circular Deque,Medium,https://leetcode.com/problems/design-circular-deque/,"Array, Linked List, Design, Queue",64.4,False,Algorithms,1641,105,,"[{""title"": ""Design Circular Queue"", ""titleSlug"": ""design-circular-queue"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Design Front Middle Back Queue"", ""titleSlug"": ""design-front-middle-back-queue"", ""difficulty"": ""Medium"", ""translatedTitle"": null}]"
2049,Count Nodes With the Highest Score,Medium,https://leetcode.com/problems/count-nodes-with-the-highest-score/,"Array, Tree, Depth-First Search, Binary Tree",51.48,False,Algorithms,1140,93,,"[{""title"": ""Sum of Distances in Tree"", ""titleSlug"": ""sum-of-distances-in-tree"", ""difficulty"": ""Hard"", ""translatedTitle"": null}, {""title"": ""Delete Nodes And Return Forest"", ""titleSlug"": ""delete-nodes-and-return-forest"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Maximum Product of Splitted Binary Tree"", ""titleSlug"": ""maximum-product-of-splitted-binary-tree"", ""difficulty"": ""Medium"", ""translatedTitle"": null}]"
548,Split Array with Equal Sum,Hard,https://leetcode.com/problems/split-array-with-equal-sum/,"Array, Hash Table, Prefix Sum",50.04,True,Algorithms,417,131,,"[{""title"": ""Fair Distribution of Cookies"", ""titleSlug"": ""fair-distribution-of-cookies"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Number of Ways to Split a String"", ""titleSlug"": ""number-of-ways-to-split-a-string"", ""difficulty"": ""Medium"", ""translatedTitle"": null}]"
2332,The Latest Time to Catch a Bus,Medium,https://leetcode.com/problems/the-latest-time-to-catch-a-bus/,"Array, Two Pointers, Binary Search, Sorting",28.97,False,Algorithms,513,783,,"[{""title"": ""Minimum Speed to Arrive on Time"", ""titleSlug"": ""minimum-speed-to-arrive-on-time"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Maximum Matching of Players With Trainers"", ""titleSlug"": ""maximum-matching-of-players-with-trainers"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Time Taken to Cross the Door"", ""titleSlug"": ""time-taken-to-cross-the-door"", ""difficulty"": ""Hard"", ""translatedTitle"": null}, {""title"": ""Time to Cross a Bridge"", ""titleSlug"": ""time-to-cross-a-bridge"", ""difficulty"": ""Hard"", ""translatedTitle"": null}, {""title"": ""Rearranging Fruits"", ""titleSlug"": ""rearranging-fruits"", ""difficulty"": ""Hard"", ""translatedTitle"": null}]"
719,Find K-th Smallest Pair Distance,Hard,https://leetcode.com/problems/find-k-th-smallest-pair-distance/,"Array, Two Pointers, Binary Search, Sorting",45.93,False,Algorithms,3859,123,,"[{""title"": ""Find K Pairs with Smallest Sums"", ""titleSlug"": ""find-k-pairs-with-smallest-sums"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Kth Smallest Element in a Sorted Matrix"", ""titleSlug"": ""kth-smallest-element-in-a-sorted-matrix"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Find K Closest Elements"", ""titleSlug"": ""find-k-closest-elements"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Kth Smallest Number in Multiplication Table"", ""titleSlug"": ""kth-smallest-number-in-multiplication-table"", ""difficulty"": ""Hard"", ""translatedTitle"": null}, {""title"": ""K-th Smallest Prime Fraction"", ""titleSlug"": ""k-th-smallest-prime-fraction"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Find the Median of the Uniqueness Array"", ""titleSlug"": ""find-the-median-of-the-uniqueness-array"", ""difficulty"": ""Hard"", ""translatedTitle"": null}, {""title"": ""Maximize Score of Numbers in Ranges"", ""titleSlug"": ""maximize-score-of-numbers-in-ranges"", ""difficulty"": ""Medium"", ""translatedTitle"": null}]"
2262,Total Appeal of A String,Hard,https://leetcode.com/problems/total-appeal-of-a-string/,"Hash Table, String, Dynamic Programming",55.9,False,Algorithms,1190,33,,"[{""title"": ""Count Unique Characters of All Substrings of a Given String"", ""titleSlug"": ""count-unique-characters-of-all-substrings-of-a-given-string"", ""difficulty"": ""Hard"", ""translatedTitle"": null}, {""title"": ""Count Vowel Substrings of a String"", ""titleSlug"": ""count-vowel-substrings-of-a-string"", ""difficulty"": ""Easy"", ""translatedTitle"": null}, {""title"": ""Vowels of All Substrings"", ""titleSlug"": ""vowels-of-all-substrings"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Find the Median of the Uniqueness Array"", ""titleSlug"": ""find-the-median-of-the-uniqueness-array"", ""difficulty"": ""Hard"", ""translatedTitle"": null}]"
3102,Minimize Manhattan Distances,Hard,https://leetcode.com/problems/minimize-manhattan-distances/,"Array, Math, Geometry, Sorting, Ordered Set",31.76,False,Algorithms,179,15,,[]
3263,Convert Doubly Linked List to Array I,Easy,https://leetcode.com/problems/convert-doubly-linked-list-to-array-i/,"Array, Linked List, Doubly-Linked List",94.7,True,Algorithms,19,4,,"[{""title"": ""Remove Linked List Elements"", ""titleSlug"": ""remove-linked-list-elements"", ""difficulty"": ""Easy"", ""translatedTitle"": null}]"
694,Number of Distinct Islands,Medium,https://leetcode.com/problems/number-of-distinct-islands/,"Hash Table, Depth-First Search, Breadth-First Search, Union Find, Hash Function",62.4,True,Algorithms,2307,151,,"[{""title"": ""Number of Islands"", ""titleSlug"": ""number-of-islands"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Number of Distinct Islands II"", ""titleSlug"": ""number-of-distinct-islands-ii"", ""difficulty"": ""Hard"", ""translatedTitle"": null}, {""title"": ""Count Sub Islands"", ""titleSlug"": ""count-sub-islands"", ""difficulty"": ""Medium"", ""translatedTitle"": null}]"
3135,Equalize Strings by Adding or Removing Characters at Ends,Medium,https://leetcode.com/problems/equalize-strings-by-adding-or-removing-characters-at-ends/,"String, Binary Search, Dynamic Programming, Sliding Window, Hash Function",55.58,True,Algorithms,15,2,,[]
2702,Minimum Operations to Make Numbers Non-positive,Hard,https://leetcode.com/problems/minimum-operations-to-make-numbers-non-positive/,"Array, Binary Search",42.56,True,Algorithms,49,4,,[]
3520,Minimum Threshold for Inversion Pairs Count,Medium,https://leetcode.com/problems/minimum-threshold-for-inversion-pairs-count/,"Array, Binary Search, Binary Indexed Tree, Segment Tree",53.61,True,Algorithms,3,1,,[]
2510,Check if There is a Path With Equal Number of 0's And 1's,Medium,https://leetcode.com/problems/check-if-there-is-a-path-with-equal-number-of-0s-and-1s/,"Array, Dynamic Programming, Matrix",51.34,True,Algorithms,105,5,,"[{""title"": ""Minimum Path Sum"", ""titleSlug"": ""minimum-path-sum"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Dungeon Game"", ""titleSlug"": ""dungeon-game"", ""difficulty"": ""Hard"", ""translatedTitle"": null}, {""title"": ""Minimum Cost Homecoming of a Robot in a Grid"", ""titleSlug"": ""minimum-cost-homecoming-of-a-robot-in-a-grid"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Paths in Matrix Whose Sum Is Divisible by K"", ""titleSlug"": ""paths-in-matrix-whose-sum-is-divisible-by-k"", ""difficulty"": ""Hard"", ""translatedTitle"": null}]"
2415,Reverse Odd Levels of Binary Tree,Medium,https://leetcode.com/problems/reverse-odd-levels-of-binary-tree/,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",86.63,False,Algorithms,1712,72,,"[{""title"": ""Invert Binary Tree"", ""titleSlug"": ""invert-binary-tree"", ""difficulty"": ""Easy"", ""translatedTitle"": null}]"
3449,Maximize the Minimum Game Score,Hard,https://leetcode.com/problems/maximize-the-minimum-game-score/,"Array, Binary Search, Greedy",24.95,False,Algorithms,46,6,,[]
3491,Phone Number Prefix,Easy,https://leetcode.com/problems/phone-number-prefix/,"Array, String, Trie, Sorting",71.95,True,Algorithms,7,1,,[]
2249,Count Lattice Points Inside a Circle,Medium,https://leetcode.com/problems/count-lattice-points-inside-a-circle/,"Array, Hash Table, Math, Geometry, Enumeration",55.54,False,Algorithms,248,223,,"[{""title"": ""Queries on Number of Points Inside a Circle"", ""titleSlug"": ""queries-on-number-of-points-inside-a-circle"", ""difficulty"": ""Medium"", ""translatedTitle"": null}]"
3022,Minimize OR of Remaining Elements Using Operations,Hard,https://leetcode.com/problems/minimize-or-of-remaining-elements-using-operations/,"Array, Greedy, Bit Manipulation",28.7,False,Algorithms,93,15,,"[{""title"": ""Maximum XOR After Operations "", ""titleSlug"": ""maximum-xor-after-operations"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Apply Operations on Array to Maximize Sum of Squares"", ""titleSlug"": ""apply-operations-on-array-to-maximize-sum-of-squares"", ""difficulty"": ""Hard"", ""translatedTitle"": null}]"
3246,Premier League Table Ranking,Easy,https://leetcode.com/problems/premier-league-table-ranking/,Database,81.74,True,Database,10,0,,[]
3547,Maximum Sum of Edge Values in a Graph,Hard,https://leetcode.com/problems/maximum-sum-of-edge-values-in-a-graph/,"Math, Greedy, Graph",33.64,False,Algorithms,45,29,,[]
1034,Coloring A Border,Medium,https://leetcode.com/problems/coloring-a-border/,"Array, Depth-First Search, Breadth-First Search, Matrix",50.15,False,Algorithms,808,923,,"[{""title"": ""Island Perimeter"", ""titleSlug"": ""island-perimeter"", ""difficulty"": ""Easy"", ""translatedTitle"": null}]"
618,Students Report By Geography,Hard,https://leetcode.com/problems/students-report-by-geography/,Database,63.74,True,Database,191,170,,[]
771,Jewels and Stones,Easy,https://leetcode.com/problems/jewels-and-stones/,"Hash Table, String",89.32,False,Algorithms,5316,619,,[]
747,Largest Number At Least Twice of Others,Easy,https://leetcode.com/problems/largest-number-at-least-twice-of-others/,"Array, Sorting",51.09,False,Algorithms,1296,933,,"[{""title"": ""Keep Multiplying Found Values by Two"", ""titleSlug"": ""keep-multiplying-found-values-by-two"", ""difficulty"": ""Easy"", ""translatedTitle"": null}, {""title"": ""Largest Number After Digit Swaps by Parity"", ""titleSlug"": ""largest-number-after-digit-swaps-by-parity"", ""difficulty"": ""Easy"", ""translatedTitle"": null}]"
2995,Viewers Turned Streamers,Hard,https://leetcode.com/problems/viewers-turned-streamers/,Database,42.78,True,Database,10,6,,[]
220,Contains Duplicate III,Hard,https://leetcode.com/problems/contains-duplicate-iii/,"Array, Sliding Window, Sorting, Bucket Sort, Ordered Set",23.79,False,Algorithms,1188,127,,"[{""title"": ""Contains Duplicate"", ""titleSlug"": ""contains-duplicate"", ""difficulty"": ""Easy"", ""translatedTitle"": null}, {""title"": ""Contains Duplicate II"", ""titleSlug"": ""contains-duplicate-ii"", ""difficulty"": ""Easy"", ""translatedTitle"": null}]"
1615,Maximal Network Rank,Medium,https://leetcode.com/problems/maximal-network-rank/,Graph,65.6,False,Algorithms,2416,381,,[]
1264,Page Recommendations,Medium,https://leetcode.com/problems/page-recommendations/,Database,65.39,True,Database,261,25,,"[{""title"": ""Page Recommendations II"", ""titleSlug"": ""page-recommendations-ii"", ""difficulty"": ""Hard"", ""translatedTitle"": null}, {""title"": ""Strong Friendship"", ""titleSlug"": ""strong-friendship"", ""difficulty"": ""Medium"", ""translatedTitle"": null}]"
2512,Reward Top K Students,Medium,https://leetcode.com/problems/reward-top-k-students/,"Array, Hash Table, String, Sorting, Heap (Priority Queue)",46.25,False,Algorithms,355,91,,"[{""title"": ""Queue Reconstruction by Height"", ""titleSlug"": ""queue-reconstruction-by-height"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""K Highest Ranked Items Within a Price Range"", ""titleSlug"": ""k-highest-ranked-items-within-a-price-range"", ""difficulty"": ""Medium"", ""translatedTitle"": null}]"
1446,Consecutive Characters,Easy,https://leetcode.com/problems/consecutive-characters/,String,60.27,False,Algorithms,1804,35,,"[{""title"": ""Max Consecutive Ones"", ""titleSlug"": ""max-consecutive-ones"", ""difficulty"": ""Easy"", ""translatedTitle"": null}, {""title"": ""Longest Continuous Increasing Subsequence"", ""titleSlug"": ""longest-continuous-increasing-subsequence"", ""difficulty"": ""Easy"", ""translatedTitle"": null}, {""title"": ""Check if an Array Is Consecutive"", ""titleSlug"": ""check-if-an-array-is-consecutive"", ""difficulty"": ""Easy"", ""translatedTitle"": null}, {""title"": ""Count Number of Homogenous Substrings"", ""titleSlug"": ""count-number-of-homogenous-substrings"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Longest Substring of One Repeating Character"", ""titleSlug"": ""longest-substring-of-one-repeating-character"", ""difficulty"": ""Hard"", ""translatedTitle"": null}, {""title"": ""Minimum Number of Chairs in a Waiting Room"", ""titleSlug"": ""minimum-number-of-chairs-in-a-waiting-room"", ""difficulty"": ""Easy"", ""translatedTitle"": null}]"
153,Find Minimum in Rotated Sorted Array,Medium,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/,"Array, Binary Search",52.97,False,Algorithms,14496,636,,"[{""title"": ""Search in Rotated Sorted Array"", ""titleSlug"": ""search-in-rotated-sorted-array"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Find Minimum in Rotated Sorted Array II"", ""titleSlug"": ""find-minimum-in-rotated-sorted-array-ii"", ""difficulty"": ""Hard"", ""translatedTitle"": null}]"
3476,Maximize Profit from Task Assignment,Medium,https://leetcode.com/problems/maximize-profit-from-task-assignment/,"Array, Greedy, Sorting, Heap (Priority Queue)",66.82,True,Algorithms,7,1,,[]
3456,Find Special Substring of Length K,Easy,https://leetcode.com/problems/find-special-substring-of-length-k/,String,35.08,False,Algorithms,55,8,,[]
2088,Count Fertile Pyramids in a Land,Hard,https://leetcode.com/problems/count-fertile-pyramids-in-a-land/,"Array, Dynamic Programming, Matrix",65.68,False,Algorithms,387,21,,"[{""title"": ""Count Square Submatrices with All Ones"", ""titleSlug"": ""count-square-submatrices-with-all-ones"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Get Biggest Three Rhombus Sums in a Grid"", ""titleSlug"": ""get-biggest-three-rhombus-sums-in-a-grid"", ""difficulty"": ""Medium"", ""translatedTitle"": null}]"
1942,The Number of the Smallest Unoccupied Chair,Medium,https://leetcode.com/problems/the-number-of-the-smallest-unoccupied-chair/,"Array, Hash Table, Heap (Priority Queue)",60.4,False,Algorithms,1420,77,,[]
3066,Minimum Operations to Exceed Threshold Value II,Medium,https://leetcode.com/problems/minimum-operations-to-exceed-threshold-value-ii/,"Array, Heap (Priority Queue), Simulation",45.77,False,Algorithms,622,70,,"[{""title"": ""Minimum Operations to Halve Array Sum"", ""titleSlug"": ""minimum-operations-to-halve-array-sum"", ""difficulty"": ""Medium"", ""translatedTitle"": null}]"
3502,Minimum Cost to Reach Every Position,Easy,https://leetcode.com/problems/minimum-cost-to-reach-every-position/,Array,82.38,False,Algorithms,57,62,,[]
1045,Customers Who Bought All Products,Medium,https://leetcode.com/problems/customers-who-bought-all-products/,Database,63.18,False,Database,975,89,,[]
2615,Sum of Distances,Medium,https://leetcode.com/problems/sum-of-distances/,"Array, Hash Table, Prefix Sum",31.67,False,Algorithms,798,94,,"[{""title"": ""Remove Duplicates from Sorted Array"", ""titleSlug"": ""remove-duplicates-from-sorted-array"", ""difficulty"": ""Easy"", ""translatedTitle"": null}, {""title"": ""Find All Duplicates in an Array"", ""titleSlug"": ""find-all-duplicates-in-an-array"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Minimum Operations to Make All Array Elements Equal"", ""titleSlug"": ""minimum-operations-to-make-all-array-elements-equal"", ""difficulty"": ""Medium"", ""translatedTitle"": null}]"
2077,Paths in Maze That Lead to Same Room,Medium,https://leetcode.com/problems/paths-in-maze-that-lead-to-same-room/,Graph,56.19,True,Algorithms,139,12,,"[{""title"": ""Number of Connected Components in an Undirected Graph"", ""titleSlug"": ""number-of-connected-components-in-an-undirected-graph"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Reachable Nodes In Subdivided Graph"", ""titleSlug"": ""reachable-nodes-in-subdivided-graph"", ""difficulty"": ""Hard"", ""translatedTitle"": null}, {""title"": ""Distance to a Cycle in Undirected Graph"", ""titleSlug"": ""distance-to-a-cycle-in-undirected-graph"", ""difficulty"": ""Hard"", ""translatedTitle"": null}, {""title"": ""Find if Path Exists in Graph"", ""titleSlug"": ""find-if-path-exists-in-graph"", ""difficulty"": ""Easy"", ""translatedTitle"": null}]"
32,Longest Valid Parentheses,Hard,https://leetcode.com/problems/longest-valid-parentheses/,"String, Dynamic Programming, Stack",36.7,False,Algorithms,12945,448,,"[{""title"": ""Valid Parentheses"", ""titleSlug"": ""valid-parentheses"", ""difficulty"": ""Easy"", ""translatedTitle"": null}]"
3275,K-th Nearest Obstacle Queries,Medium,https://leetcode.com/problems/k-th-nearest-obstacle-queries/,"Array, Heap (Priority Queue)",48.32,False,Algorithms,106,17,,"[{""title"": ""K Closest Points to Origin"", ""titleSlug"": ""k-closest-points-to-origin"", ""difficulty"": ""Medium"", ""translatedTitle"": null}]"
1784,Check if Binary String Has at Most One Segment of Ones,Easy,https://leetcode.com/problems/check-if-binary-string-has-at-most-one-segment-of-ones/,String,39.14,False,Algorithms,363,1002,,"[{""title"": ""Longer Contiguous Segments of Ones than Zeros"", ""titleSlug"": ""longer-contiguous-segments-of-ones-than-zeros"", ""difficulty"": ""Easy"", ""translatedTitle"": null}]"
2575,Find the Divisibility Array of a String,Medium,https://leetcode.com/problems/find-the-divisibility-array-of-a-string/,"Array, Math, String",34.94,False,Algorithms,574,23,,"[{""title"": ""Subarray Sums Divisible by K"", ""titleSlug"": ""subarray-sums-divisible-by-k"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Make Sum Divisible by P"", ""titleSlug"": ""make-sum-divisible-by-p"", ""difficulty"": ""Medium"", ""translatedTitle"": null}]"
1876,Substrings of Size Three with Distinct Characters,Easy,https://leetcode.com/problems/substrings-of-size-three-with-distinct-characters/,"Hash Table, String, Sliding Window, Counting",75.84,False,Algorithms,1614,52,,[]
428,Serialize and Deserialize N-ary Tree,Hard,https://leetcode.com/problems/serialize-and-deserialize-n-ary-tree/,"String, Tree, Depth-First Search, Breadth-First Search",68.34,True,Algorithms,1068,57,,"[{""title"": ""Serialize and Deserialize Binary Tree"", ""titleSlug"": ""serialize-and-deserialize-binary-tree"", ""difficulty"": ""Hard"", ""translatedTitle"": null}, {""title"": ""Serialize and Deserialize BST"", ""titleSlug"": ""serialize-and-deserialize-bst"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Encode N-ary Tree to Binary Tree"", ""titleSlug"": ""encode-n-ary-tree-to-binary-tree"", ""difficulty"": ""Hard"", ""translatedTitle"": null}]"
2212,Maximum Points in an Archery Competition,Medium,https://leetcode.com/problems/maximum-points-in-an-archery-competition/,"Array, Backtracking, Bit Manipulation, Enumeration",50.72,False,Algorithms,508,56,,"[{""title"": ""Maximum Product of the Length of Two Palindromic Subsequences"", ""titleSlug"": ""maximum-product-of-the-length-of-two-palindromic-subsequences"", ""difficulty"": ""Medium"", ""translatedTitle"": null}]"
1148,Article Views I,Easy,https://leetcode.com/problems/article-views-i/,Database,77.05,False,Database,1998,120,,[]
1055,Shortest Way to Form String,Medium,https://leetcode.com/problems/shortest-way-to-form-string/,"Two Pointers, String, Binary Search, Greedy",61.37,True,Algorithms,1325,74,,"[{""title"": ""Is Subsequence"", ""titleSlug"": ""is-subsequence"", ""difficulty"": ""Easy"", ""translatedTitle"": null}, {""title"": ""Number of Matching Subsequences"", ""titleSlug"": ""number-of-matching-subsequences"", ""difficulty"": ""Medium"", ""translatedTitle"": null}]"
406,Queue Reconstruction by Height,Medium,https://leetcode.com/problems/queue-reconstruction-by-height/,"Array, Binary Indexed Tree, Segment Tree, Sorting",74.26,False,Algorithms,7185,744,,"[{""title"": ""Count of Smaller Numbers After Self"", ""titleSlug"": ""count-of-smaller-numbers-after-self"", ""difficulty"": ""Hard"", ""translatedTitle"": null}, {""title"": ""Reward Top K Students"", ""titleSlug"": ""reward-top-k-students"", ""difficulty"": ""Medium"", ""translatedTitle"": null}]"
868,Binary Gap,Easy,https://leetcode.com/problems/binary-gap/,Bit Manipulation,64.88,False,Algorithms,676,672,,[]
167,Two Sum II - Input Array Is Sorted,Medium,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted/,"Array, Two Pointers, Binary Search",63.7,False,Algorithms,12756,1485,,"[{""title"": ""Two Sum"", ""titleSlug"": ""two-sum"", ""difficulty"": ""Easy"", ""translatedTitle"": null}, {""title"": ""Two Sum IV - Input is a BST"", ""titleSlug"": ""two-sum-iv-input-is-a-bst"", ""difficulty"": ""Easy"", ""translatedTitle"": null}, {""title"": ""Two Sum Less Than K"", ""titleSlug"": ""two-sum-less-than-k"", ""difficulty"": ""Easy"", ""translatedTitle"": null}]"
2559,Count Vowel Strings in Ranges,Medium,https://leetcode.com/problems/count-vowel-strings-in-ranges/,"Array, String, Prefix Sum",67.84,False,Algorithms,1144,70,,"[{""title"": ""Jump Game VII"", ""titleSlug"": ""jump-game-vii"", ""difficulty"": ""Medium"", ""translatedTitle"": null}]"
3224,Minimum Array Changes to Make Differences Equal,Medium,https://leetcode.com/problems/minimum-array-changes-to-make-differences-equal/,"Array, Hash Table, Prefix Sum",23.5,False,Algorithms,242,27,,[]
1134,Armstrong Number,Easy,https://leetcode.com/problems/armstrong-number/,Math,77.86,True,Algorithms,215,20,,[]
1431,Kids With the Greatest Number of Candies,Easy,https://leetcode.com/problems/kids-with-the-greatest-number-of-candies/,Array,88.09,False,Algorithms,4794,618,,[]
